,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cab_num
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,39,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,24,0,109,9,25,549,44,1,0
2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,58,1,43,3576,0,6715,49,0,0
3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,33,0,0,1283,371,3329,193,0,0
4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,16,0,303,70,151,565,2,1,1
5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,44,0,0,483,0,291,0,1,0
6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,26,0,42,1539,3,0,0,1,2
7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,28,0,0,0,0,0,0,1,0
8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,35,0,0,785,17,216,0,1,3
9,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,14,0,0,0,0,0,0,1,1
10,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,34,0,0,0,0,0,0,1,1
11,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,45,0,39,7295,589,110,124,1,1
12,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,32,0,73,0,1123,0,113,1,1
13,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,48,0,719,1,65,0,24,0,1
14,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,28,0,8,974,12,2,7,1,2
15,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,31,0,32,0,876,0,0,0,82
16,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,27,0,1286,122,0,0,0,0,3
17,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,24,0,0,1,0,0,637,0,4
18,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,45,0,0,0,0,0,0,1,5
19,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
20,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,14,0,412,0,1,0,679,0,6
21,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
22,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,49,0,0,0,0,0,0,0,0
23,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,29,0,0,0,0,0,0,0,0
24,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,1,0
25,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
26,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0
27,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,21,0,980,2,69,0,0,0,0
28,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,62,0,0,0,0,0,0,1,2
29,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,15,0,0,225,0,998,0,0,6
30,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,34,0,22,6073,0,1438,328,0,0
31,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,43,0,1125,0,136,48,0,0,8
32,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,32,0,0,850,81,437,453,0,4
33,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,47,0,214,0,1411,0,1229,1,9
34,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,9
35,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,20,0,0,0,1750,990,0,1,9
36,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,28,0,0,0,0,0,0,1,1
37,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,23,0,784,964,0,951,0,0,1
38,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0,0,492,48,20,401,0,8
39,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,20,0,554,195,0,2606,0,0,10
40,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,30,0,0,0,0,0,0,0,1
41,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,17,0,0,0,0,0,0,1,2
42,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,45,0,0,164,45,2511,855,0,3
43,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,55,0,0,0,0,0,0,0,3
44,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0,0,0,0,0,0,1,3
45,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,21,0,0,0,0,0,0,1,3
46,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,21,0,970,0,180,0,64,0,10
47,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,19,0,0,0,0,0,0,1,10
48,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,35,0,790,0,0,0,0,0,1
49,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,56,0,0,112,0,1379,127,0,2
50,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,27,0,4,0,2,4683,0,0,6
51,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,25,0,0,0,1938,0,1,1,11
52,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1
53,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,38,0,0,0,0,0,0,1,1
54,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,27,0,279,605,3374,286,3,1,1
55,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,36,0,0,0,0,0,0,0,7
56,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,22,0,45,1096,148,1377,1,0,12
57,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,62,0,0,592,0,17,25,0,13
58,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,15,0,0,0,0,0,0,1,14
59,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,33,0,0,0,0,0,0,1,3
60,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,62,0,1,153,197,0,460,0,6
61,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,10
62,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,18,0,1,258,446,0,0,1,10
63,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,21,0,1946,37,0,0,24,0,15
64,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,27,0,793,0,2,253,0,0,4
65,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,42,0,887,0,9,6,0,1,16
66,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,19,0,190,0,5,1,726,0,13
67,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,17,0,16,2165,0,0,52,0,14
68,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,14,0,0,1,0,0,1063,0,17
69,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,37,0,46,83,738,0,12,0,3
70,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,42,0,1,8397,0,0,506,1,3
71,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,27,0,147,0,1018,0,0,1,18
72,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,28,0,14,0,1295,0,0,1,15
73,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,38,0,0,5840,0,321,9654,0,4
74,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,13,0,0,0,0,0,0,0,13
